epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,41.212,0.88453,1.66378,0.79787,1.10908,0,0.86141,0.67017,0.69587,0.51694,0.82249,0.59501,0.65128,0.45534,0.87123,1.37419,0.7228,1.20279,0,0.000665455,0.000665455,0.000665455
2,80.3701,0.82852,1.33958,0.57558,1.04974,0,0.90496,0.64159,0.74141,0.54893,0.87191,0.61714,0.71575,0.51274,0.80489,1.00602,0.58633,1.06205,0,0.00130575,0.00130575,0.00130575
3,118.932,0.76185,1.25457,0.51929,1.01896,0,0.77818,0.73172,0.74443,0.52883,0.86041,0.57029,0.69229,0.51117,0.80564,0.95428,0.5664,1.00502,0,0.00191964,0.00191964,0.00191964
4,157.408,0.72434,1.17792,0.48348,0.99119,0,0.81972,0.75604,0.77762,0.61028,0.83274,0.76804,0.79771,0.59221,0.63867,0.79835,0.45928,0.97375,0,0.0018812,0.0018812,0.0018812
5,196.263,0.67975,1.11386,0.44694,0.98208,0,0.89346,0.76108,0.80242,0.60922,0.81538,0.71985,0.77236,0.59167,0.69638,0.8148,0.45651,0.95793,0,0.0018416,0.0018416,0.0018416
6,234.842,0.65121,1.04414,0.42729,0.9652,0,0.90931,0.75558,0.7974,0.59341,0.87215,0.72976,0.79797,0.58514,0.65352,0.80724,0.44748,0.90565,0,0.001802,0.001802,0.001802
7,273.426,0.63543,1.01819,0.40969,0.95599,0,0.95347,0.77737,0.81736,0.59467,0.81127,0.68559,0.72955,0.54219,0.63116,0.67673,0.40805,0.87913,0,0.0017624,0.0017624,0.0017624
8,312.241,0.61188,0.9633,0.39321,0.94616,0,0.95432,0.77728,0.81339,0.66688,0.93981,0.76869,0.82121,0.62056,0.55466,0.68326,0.39965,0.87625,0,0.0017228,0.0017228,0.0017228
9,351.007,0.58887,0.90759,0.37435,0.93277,0,0.95765,0.77908,0.82014,0.63388,0.93496,0.76335,0.81102,0.60276,0.56943,0.62628,0.37155,0.86311,0,0.0016832,0.0016832,0.0016832
10,389.486,0.58852,0.91377,0.36905,0.93172,0,0.96304,0.78953,0.82871,0.64636,0.95055,0.77275,0.82485,0.62488,0.56267,0.60618,0.39754,0.86301,0,0.0016436,0.0016436,0.0016436
11,428.178,0.57001,0.9041,0.36071,0.92719,0,0.96407,0.79379,0.82634,0.65945,0.91927,0.73028,0.78879,0.59371,0.55547,0.6085,0.38645,0.86236,0,0.001604,0.001604,0.001604
12,466.691,0.55347,0.86003,0.34645,0.91869,0,0.95657,0.76999,0.82788,0.66466,0.91068,0.75054,0.8069,0.59146,0.51578,0.61478,0.3397,0.84971,0,0.0015644,0.0015644,0.0015644
13,505.175,0.55097,0.85289,0.34442,0.9188,0,0.96479,0.78947,0.83369,0.65995,0.94729,0.75702,0.81626,0.61316,0.53233,0.56518,0.35402,0.84906,0,0.0015248,0.0015248,0.0015248
14,543.983,0.54477,0.83009,0.33831,0.91394,0,0.95375,0.77631,0.82505,0.67563,0.9303,0.75908,0.82004,0.63312,0.52725,0.58513,0.36292,0.84982,0,0.0014852,0.0014852,0.0014852
15,582.682,0.53287,0.80798,0.33061,0.90819,0,0.96393,0.78392,0.83611,0.6951,0.91007,0.74379,0.81052,0.61263,0.49039,0.57792,0.32855,0.83975,0,0.0014456,0.0014456,0.0014456
16,621.314,0.53179,0.80346,0.32549,0.90846,0,0.9744,0.79612,0.83809,0.69108,0.91683,0.73998,0.79337,0.59919,0.49832,0.52796,0.3517,0.83987,0,0.001406,0.001406,0.001406
17,659.943,0.51608,0.79016,0.31688,0.90389,0,0.96942,0.78538,0.8396,0.67758,0.95442,0.75986,0.82311,0.62684,0.49317,0.52094,0.31308,0.82633,0,0.0013664,0.0013664,0.0013664
18,698.461,0.51978,0.80996,0.31863,0.90564,0,0.97365,0.78999,0.83506,0.6917,0.93454,0.76147,0.81411,0.61782,0.47655,0.52974,0.31091,0.82995,0,0.0013268,0.0013268,0.0013268
19,737.23,0.5084,0.77124,0.30967,0.90008,0,0.96551,0.77849,0.8371,0.68373,0.92806,0.7483,0.82242,0.61671,0.49567,0.53987,0.33192,0.83242,0,0.0012872,0.0012872,0.0012872
20,775.667,0.50809,0.76923,0.30969,0.89868,0,0.97077,0.78392,0.83586,0.68168,0.94817,0.76843,0.82363,0.63759,0.46882,0.53881,0.31161,0.82268,0,0.0012476,0.0012476,0.0012476
21,814.254,0.50232,0.76784,0.30281,0.89599,0,0.97606,0.79973,0.83826,0.68978,0.91233,0.74396,0.79364,0.59313,0.47815,0.50452,0.31226,0.82364,0,0.001208,0.001208,0.001208
22,852.936,0.49151,0.73208,0.29791,0.89197,0,0.9674,0.79315,0.84536,0.7027,0.88572,0.72856,0.78528,0.6091,0.46134,0.48527,0.31,0.82157,0,0.0011684,0.0011684,0.0011684
23,891.596,0.48662,0.73125,0.29336,0.89395,0,0.9704,0.79734,0.84414,0.70813,0.92237,0.75589,0.81144,0.61258,0.44845,0.5188,0.28988,0.81712,0,0.0011288,0.0011288,0.0011288
24,930.269,0.48768,0.74338,0.2949,0.89277,0,0.97171,0.80386,0.84279,0.69474,0.94658,0.7854,0.83478,0.65017,0.44082,0.49012,0.29119,0.81272,0,0.0010892,0.0010892,0.0010892
25,969.069,0.47461,0.71246,0.28797,0.88911,0,0.9817,0.80818,0.84872,0.70813,0.89832,0.73979,0.78987,0.60668,0.42569,0.51766,0.27502,0.80925,0,0.0010496,0.0010496,0.0010496
26,1007.71,0.47828,0.71193,0.28464,0.88996,0,0.9649,0.80095,0.85123,0.7079,0.92371,0.76243,0.81898,0.63761,0.45019,0.49309,0.30809,0.8155,0,0.00101,0.00101,0.00101
27,1046.28,0.4702,0.70018,0.28365,0.88604,0,0.97699,0.79981,0.84609,0.71437,0.94129,0.7634,0.82111,0.63431,0.42312,0.49218,0.29609,0.80805,0,0.0009704,0.0009704,0.0009704
28,1084.91,0.47095,0.71682,0.28067,0.88812,0,0.97344,0.80437,0.85111,0.68906,0.85739,0.71142,0.74395,0.55242,0.44246,0.49168,0.28619,0.80946,0,0.0009308,0.0009308,0.0009308
29,1123.42,0.46426,0.68878,0.27966,0.88405,0,0.96879,0.80123,0.85139,0.71266,0.92935,0.76982,0.81822,0.62522,0.44245,0.49467,0.2799,0.80766,0,0.0008912,0.0008912,0.0008912
30,1162.01,0.46371,0.69661,0.2752,0.88531,0,0.97848,0.79785,0.85418,0.71872,0.90209,0.7371,0.79267,0.62971,0.42427,0.47429,0.27346,0.80762,0,0.0008516,0.0008516,0.0008516
31,1200.71,0.45277,0.65695,0.26696,0.88023,0,0.97481,0.80418,0.85472,0.71936,0.91427,0.76257,0.81344,0.62694,0.415,0.47363,0.27261,0.80477,0,0.000812,0.000812,0.000812
32,1239.22,0.45642,0.68028,0.27007,0.88019,0,0.97908,0.80633,0.85066,0.71704,0.94024,0.77756,0.82653,0.63443,0.41123,0.46829,0.27997,0.80093,0,0.0007724,0.0007724,0.0007724
33,1277.87,0.4519,0.65901,0.26558,0.88115,0,0.97373,0.80598,0.85304,0.71738,0.94313,0.78003,0.83119,0.64361,0.41357,0.47807,0.27298,0.79928,0,0.0007328,0.0007328,0.0007328
34,1316.54,0.45162,0.65396,0.26181,0.87888,0,0.98111,0.80409,0.85642,0.72343,0.92656,0.74405,0.80795,0.60917,0.40485,0.45,0.26458,0.79631,0,0.0006932,0.0006932,0.0006932
35,1355.06,0.44275,0.64075,0.26178,0.87807,0,0.98021,0.8145,0.85731,0.72863,0.91833,0.76537,0.81394,0.62808,0.39609,0.44493,0.26257,0.79681,0,0.0006536,0.0006536,0.0006536
36,1393.66,0.43644,0.6324,0.25455,0.87285,0,0.97577,0.80792,0.85584,0.72128,0.92901,0.76921,0.82507,0.63885,0.4127,0.44016,0.27788,0.79927,0,0.000614,0.000614,0.000614
37,1432.11,0.44057,0.64182,0.25687,0.87996,0,0.98044,0.81171,0.85948,0.72719,0.91765,0.75857,0.80638,0.62463,0.39217,0.42845,0.24953,0.79576,0,0.0005744,0.0005744,0.0005744
38,1470.71,0.43953,0.65233,0.25769,0.87891,0,0.97712,0.81014,0.85858,0.73214,0.93042,0.77564,0.82965,0.64231,0.39806,0.42878,0.26241,0.79515,0,0.0005348,0.0005348,0.0005348
39,1509.37,0.42439,0.6163,0.24502,0.87194,0,0.98305,0.81192,0.85907,0.72769,0.91154,0.75523,0.80887,0.61846,0.39923,0.42413,0.25356,0.79491,0,0.0004952,0.0004952,0.0004952
40,1547.97,0.42082,0.61925,0.24139,0.87015,0,0.98504,0.81577,0.86081,0.73619,0.92075,0.76166,0.81482,0.62947,0.37869,0.43015,0.24225,0.79046,0,0.0004556,0.0004556,0.0004556
41,1587.65,0.42034,0.66798,0.24659,0.83178,0,0.98081,0.81167,0.85676,0.72533,0.92656,0.76847,0.8174,0.62428,0.38158,0.41925,0.24146,0.78901,0,0.000416,0.000416,0.000416
42,1626.77,0.41054,0.67354,0.24154,0.83223,0,0.98344,0.81683,0.86022,0.73307,0.93844,0.77831,0.83041,0.64019,0.38144,0.43749,0.25265,0.7882,0,0.0003764,0.0003764,0.0003764
43,1665.84,0.40573,0.65648,0.23696,0.82735,0,0.97998,0.81321,0.86012,0.7332,0.9265,0.76844,0.81785,0.62997,0.37748,0.43973,0.23576,0.78583,0,0.0003368,0.0003368,0.0003368
44,1704.91,0.39743,0.64399,0.22855,0.82578,0,0.9829,0.81586,0.86036,0.73533,0.93184,0.77663,0.82445,0.63604,0.37158,0.42665,0.23582,0.78346,0,0.0002972,0.0002972,0.0002972
45,1744.05,0.38987,0.62175,0.22037,0.82271,0,0.98024,0.81936,0.86561,0.74008,0.92582,0.77471,0.82405,0.63247,0.36356,0.41826,0.23183,0.78273,0,0.0002576,0.0002576,0.0002576
46,1783.05,0.38747,0.64345,0.21941,0.82253,0,0.98276,0.81642,0.86809,0.73936,0.93429,0.76811,0.82675,0.6329,0.36633,0.42504,0.23109,0.78316,0,0.000218,0.000218,0.000218
47,1822.14,0.3834,0.62382,0.21529,0.82063,0,0.98331,0.81749,0.86948,0.74001,0.9112,0.75209,0.80329,0.62409,0.36795,0.42178,0.22846,0.78268,0,0.0001784,0.0001784,0.0001784
48,1861.11,0.37892,0.60289,0.21431,0.81956,0,0.98572,0.81966,0.8689,0.74397,0.9145,0.76179,0.81003,0.62885,0.36003,0.40933,0.22148,0.78089,0,0.0001388,0.0001388,0.0001388
49,1900.18,0.378,0.61023,0.20922,0.81476,0,0.98386,0.82176,0.87064,0.74602,0.91569,0.7652,0.81461,0.62209,0.35632,0.41051,0.21756,0.78005,0,9.92e-05,9.92e-05,9.92e-05
50,1939.25,0.37189,0.59245,0.20678,0.81453,0,0.98345,0.8204,0.87161,0.74714,0.91927,0.76644,0.81602,0.62931,0.35189,0.40208,0.21969,0.77789,0,5.96e-05,5.96e-05,5.96e-05
